*Band 2*Ji  BM1/BE2 Error   Q1/Q2   Error
   1   11   0.920   0.065   0.762   0.255
   1   13   0.591   0.029   0.785   0.114
   1   15   0.651   0.032   0.732   0.170
   1   17   0.431   0.020   0.663   0.101
   1   19   0.567   0.026   0.967   0.183
   1   21   0.410   0.021   0.671   0.202
   1   23   0.589   0.028   0.892   0.344
   1   25   0.418   0.020   0.611   0.109
   1   27   0.622   0.030   0.765   0.307
   1   29   0.433   0.026   0.000   0.000
   1   31   0.664   0.031   0.769   0.257
   1   33   0.326   0.032   0.000   0.000
   1   35   0.933   0.132   0.000   0.000

   2   33   1.057   0.116   0.000   0.000
   2   35   1.915   0.101   0.783   0.979
   2   37   1.378   0.064   1.211   0.909
   2   39   1.269   0.057   1.245   0.416
   2   41   1.166   0.053   1.078   0.809
   2   43   1.394   0.083   0.000   0.000
   2   45   1.071   0.051   1.334   0.728
   2   47   1.142   0.075   0.000   0.000
   2   49   1.032   0.056   1.016   1.468
   2   51   1.301   0.073   1.845   0.985
   2   53   0.928   0.056   1.231   1.232
   2   55   1.360   0.118   0.000   0.000
   2   57   0.558   0.051   1.374   0.766
   2   59   1.352   0.101   0.000   0.000
   2   61   0.338   0.071   0.000   0.000
   2   63   1.661   0.138   0.000   0.000

   2   63   1.661   0.138   0.000   0.000
   2   67   1.658   0.198   0.000   0.000
   2   71   3.070   0.406   0.000   0.000

   3   37   0.564   0.075   0.000   0.000
   3   39   0.974   0.105   0.000   0.000
   3   41   0.452   0.059   0.000   0.000
   3   43   0.702   0.096   0.000   0.000
   3   45   1.131   0.149   0.000   0.000
   3   47   1.621   0.190   0.000   0.000
   3   49   0.578   0.119   0.000   0.000
   3   51   1.164   0.182   0.000   0.000
   3   53   0.829   0.119   0.000   0.000
   3   55   1.408   0.258   0.000   0.000
   3   57   0.230   0.092   0.000   0.000
   3   59   1.382   0.234   0.000   0.000
   3   61   0.386   0.168   0.000   0.000

   4   11   0.296   0.034   0.000   0.000
   4   13   0.176   0.016   0.000   0.000
   4   15   0.183   0.020   0.000   0.000
   4   17   0.058   0.014   0.000   0.000
   4   19   0.145   0.014   0.000   0.000
   4   21   0.184   0.020   0.000   0.000
   4   23   0.158   0.020   0.000   0.000
   4   25   0.146   0.020   0.000   0.000
   4   27   0.229   0.025   0.000   0.000
   4   29   0.174   0.029   0.000   0.000
   4   31   0.266   0.027   0.000   0.000
   4   33   0.495   0.048   0.000   0.000
   4   35   0.361   0.039   0.000   0.000
   4   37   0.306   0.031   0.000   0.000
   4   39   0.640   0.058   0.000   0.000
   4   41   0.339   0.035   0.000   0.000
   4   43   0.500   0.042   0.000   0.000
   4   45   0.553   0.051   0.000   0.000
   4   47   0.631   0.051   0.000   0.000
   4   49   0.359   0.038   0.000   0.000
   4   51   0.237   0.040   0.000   0.000
   4   53   0.478   0.060   0.000   0.000
   4   55   0.255   0.049   0.000   0.000
   4   57   0.412   0.059   0.000   0.000
   4   59   0.520   0.107   0.000   0.000
   4   61   0.404   0.094   0.000   0.000
   4   63   0.274   0.074   0.000   0.000
   4   65   0.244   0.092   0.000   0.000
   4   67   0.698   0.106   0.000   0.000

   5   29   1.508   0.223   0.000   0.000
   5   31   0.670   0.045   0.000   0.000
   5   33   0.519   0.038   0.000   0.000
   5   35   0.627   0.046   0.000   0.000
   5   37   0.586   0.047   0.000   0.000
   5   39   0.680   0.062   0.000   0.000
   5   41   0.784   0.124   0.000   0.000
   5   43   0.654   0.104   0.000   0.000
   5   45   0.254   0.249   0.000   0.000
   5   47   0.422   0.079   0.000   0.000
   5   49   1.122   0.276   0.000   0.000
   5   51   0.776   0.098   0.000   0.000
   5   53   0.722   0.111   0.000   0.000
   5   55   0.857   0.153   0.000   0.000
   5   57   0.723   0.109   0.000   0.000

   6   27   0.450   0.040   0.000   0.000
   6   29   0.223   0.019   0.000   0.000
   6   31   0.194   0.015   0.000   0.000
   6   33   0.129   0.014   0.000   0.000
   6   35   0.096   0.016   0.000   0.000
   6   37   0.063   0.013   0.000   0.000
   6   39   0.106   0.026   0.000   0.000
   6   41   0.119   0.031   0.000   0.000
   6   43   0.103   0.028   0.000   0.000

   8    9   1.238   0.284   0.000   0.000
   8   11   0.850   0.144   0.000   0.000
   8   13   0.539   0.103   0.000   0.000
   8   15   0.538   0.074   0.000   0.000
